,abbreviation,alt_color,color,conference,division,logos,mascot,school
966,,,,,,,,Conway Hall
967,,,,,,,,Corpus Christi NAS
968,,,,,,,,Cortland State
969,,,,,,,,Cotton City A.C.
970,,,,,,,,Crane J.C.
971,,,,,,,Bluejays,Creighton
972,,,,,,,,Crescent A.C.
973,,,,,,,,Culver
974,,,,,,,,Curtis Bay Coast Guard
975,,,,,,,,Dalhart Field
976,,,,,,,,Dallas
977,,,,,,,,Daniel Baker
978,,,,,,,,Daniel Field
979,,,,,,,,Davis & Elkins
980,,,,,,,,Dean Academy
981,,,,,,,,Decatur Baptist
982,,,,,,,Navyators,Del Monte Pre-Flight
983,DU,,,,,,Pioneers,Denver
984,,,,,,,,Denver A.C.
985,,,,,,,,Denver Alumni
986,,,,,,,,Denver Freshmen
987,,,,,,,,Denver Manual High
988,,,,,,,,DePaul
989,,,,,,,,Des Moines
990,,,,,,,,Des Moines Baptist
991,,,,,,,,Detroit A.C.
992,,,,,,,Titans,Detroit Mercy
993,,,,,,,,Dickinson Seminary
994,,,,,,,,Dixie
995,DIX,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3101.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3101.png']",Red Storm,Dixie State
996,,,,,,,,Dixon
997,,,,,,,,Doane
998,,,,,,,,Drake Alumni
999,,,,,,,,Drexel
1000,,,,,,,Panthers,Drury
1001,,,,,,,,Duquesne A.C.
1002,,,,,,,,East Central Oklahoma
1003,,,,,,,,East Denver High
1004,,,,,,,,East Des Moines High
1005,,,,,,,,Eastern Arizona J.C.
1006,,,,,,,,Eastern (Virginia)
1007,,,,,,,,Edmond Tech
1008,,,,,,,,Edmonton Field
1009,,,,,,,,Edward Waters
1010,,,,,,,,Elgin Academy
1011,,,,,,,,Elizabeth A.C.
1012,,,,,,,,Ellensburg
1013,,,,,,,,Ellington Field
1014,,,,,,,,Ellsworth
1015,,,,,,,,El Paso National Guard
1016,,,,,,,,El Toro Marines
1017,,,,,,,,Emporia College
1018,,,,,,,,Englewood
1019,,,,,,,,Englewood High
1020,,,,,,,,Englewood YMCA
1021,,,,,,,The Flying Fleet,Erskine
1022,,,,,,,,Eton
1023,,,,,,,,Eureka
1024,,,,,,,,Evanston High
1025,,,,,,,,Evansville
1026,,,,,,,,Exeter
1027,,,,,,,,F.A.A.
1028,,,,,,,,Fall River
