,abbreviation,alt_color,color,conference,division,logos,mascot,school
1062,,,,,,,,Friends
1063,,,,,,,,Galveston Field
1064,,,,,,,,Garden City
1065,,,,,,,,Geneva
1066,,,,,,,,Georgetown (Kentucky)
1067,,,,,,,Colonials,George Washington
1068,,,,,,,,Georgia B
1069,,,,,,,,Georgia Medical
1070,,,,,,,Skycrackers,Georgia Pre-Flight
1071,,,,,,,,Georgia Tech B
1072,,,,,,,,Goat Island Navy
1073,,,,,,,,Golden High
1074,,,,,,,Bulldogs,Gonzaga
1075,,,,,,,,Gonzaga Alumni
1076,,,,,,,,Gordon
1077,,,,,,,,Goshen
1078,,,,,,,,Grand Island
1079,,,,,,,,Grand Rapids High
1080,,,,,,,,Granite High
1081,,,,,,,Bluejackets,Great Lakes Navy
1082,,,,,,,,Greenfield
1083,,,,,,,,Greensboro Field
1084,,,,,,,,Greenville Field
1085,,,,,,,,Greer
1086,,,,,,,,Grinnell Alumni
1087,,,,,,,,Grinnell High
1088,,,,,,,,Grove City
1089,,,,,,,,Hahnemann Medical
1090,,,,,,,,Hamilton A.C.
1091,,,,,,,,Hampton A.C.
1092,,,,,,,,Hampton Road
1093,,,,,,,,Harrisburg A.C.
1094,,,,,,,,Harry Hillman Academy
1095,,,,,,,,Hartford
1096,,,,,,,,Harvard Alumni
1097,,,,,,,,Harvard B
1098,,,,,,,,Harvard Freshmen
1099,,,,,,,,Harvard Law
1100,,,,,,,Indians,Haskell
1101,,,,,,,,Hastings
1102,,,,,,,,Hastings State
1103,,,,,,,,Havana A.C.
1104,,,,,,,,Havana University
1105,,,,,,,Fords,Haverford
1106,,,,,,,,Hawaii All-Stars
1107,,,,,,,,Hayward State
1108,,,,,,,,Hebron Academy
1109,,,,,,,,Hedding
1110,,,,,,,,Herington Field
1111,,,,,,,,Highland Park
1112,,,,,,,,High Point
1113,,,,,,,,Hiwassee
1114,,,,,,,,Hoboken Navy
1115,HOF,#f6c934,#27297c,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2275.png']",Pride,Hofstra
1116,,,,,,,,Homestead A.C.
1117,,,,,,,,Hondo Field
1118,,,,,,,,Hopkinson
1119,,,,,,,,Horner
1120,,,,,,,,Houston YMCA
1121,,,,,,,,Hyde Park
1122,,,,,,,,Hyde Park High
1123,,,,,,,,Idaho Marines
1124,,,,,,,,Illinois Alumni
1125,,,,,,,,Illinois Cycling Club
1126,,,,,,,,Illinois Medical
1127,,,,,,,,Independence A.C.
1128,,,,,,,,Indiana Alumni
1129,,,,,,,,Indiana Medical
1130,,,,,,,,Indiana (Pennsylvania)
1131,,,,,,,,Indianapolis Artillery
1132,,,,,,,,Intermountain
1133,IPF,,,,,,Seahawks,Iowa Pre-Flight
1134,,,,,,,,Jackson Br.-New Orleans
1135,,,,,,,,Jackson Field
1136,,,,,,,Flyers,Jacksonville Naval Air Station
1137,,,,,,,,James Millikin
1138,,,,,,,,Jefferson
1139,,,,,,,,Jefferson Medical
1140,,,,,,,,Jersey Shore
1141,,,,,,,,Kamehameha Alumni
1142,,,,,,,,Kansas City A.C.
1143,,,,,,,,Kansas City Medical
1144,,,,,,,,Kansas City Veterinary
1145,,,,,,,,Kansas Wesleyan
1146,KEA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2871.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2871.png']",Cougars,Kean
1147,,,,,,,,Kearney
1148,,,,,,,,Kearney Field
1149,,,,,,,,Keesler Field
1150,,,,,,,,Kelly Field
1151,,,,,,,,Kents Hill
1152,KCU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3077.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3077.png']",Knights,Kentucky Christian
1153,,,,,,,,King
1154,,,,,,,,Kingfisher
1155,,,,,,,,King George
1156,,,,,,,,Kirtland Field
1157,,,,,,,,Kiski Preparatory
1158,KNO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/255.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/255.png']",Prairie Fire,Knox College
1159,,,,,,,,Lackland Field
1160,,,,,,,,Lake Forest Academy
1161,,,,,,,,Lake Forest Alumni
1162,,,,,,,,Lakehurst NAS
1163,LAKE,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6353.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6353.png']",Lakeland,Lakeland University
1164,,,,,,,,Lake View High
1165,,,,,,,,Lancaster Crescents
1166,LAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2323.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2323.png']",Dragons,Lane
1167,,,,,,,,Lanier
1168,,,,,,,,Laramie High
1169,,,,,,,,La Salle
1170,,,,,,,,Latrobe A.C.
1171,,,,,,,,Laureate Boat Club
1172,,,,,,,,Lawrenceville
1173,,,,,,,,Lawton
1174,,,,,,,,League Island Navy
1175,,,,,,,,Leander Clarke
1176,,,,,,,,Lehigh A.C.
1177,,,,,,,,Leilahau
1178,,,,,,,,Lewisburg A.C.
1179,,,,,,,,Lieutenants
1180,,,,,,,,Lincoln
1181,,,,,,,,Lincoln Field
1182,,,,,,,,Lincoln High
1183,,,,,,,,Lincoln Medical
1184,,,,,,,,Locust Grove
1185,,,,,,,,Logan All-Stars
1186,,,,,,,,Lombard
1187,LBS,,,,,,49ers,Long Beach State
1188,,,,,,,,Longmont High
1189,,,,,,,,Loras
1190,LOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/263.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/263.png']",Duhawks ,Loras College
1191,,,,,,,,Los Angeles A.C.
1192,,,,,,,,Los Angeles Junior College
1193,,,,,,,,Louisiana Army STU
1194,,,,,,,,Louisiana State Freshmen
1195,,,,,,,,Louisville Field
1196,,,,,,,,Love Field
1197,,,,,,,,Lowry Field
1198,,,,,,,,Loyola Academy
1199,,,,,,,,Loyola (Baltimore)
1200,,,,,,,,Loyola (Chicago)
1201,,,,,,,Wolfpack,Loyola (LA)
1202,,,,,,,Lions,Loyola Marymount
1203,,,,,,,,Lubbock Field
1204,,,,,,,,Lynchburg
1205,,,,,,,,MacAurthur Field
1206,,,,,,,,Machinists Mates
1207,,,,,,,,Madison High
1208,,,,,,,Jaspers,Manhattan
1209,,,,,,,,Manhattan A.C.
1210,,,,,,,,Manhattan Beach Coast Guard
1211,,,,,,,,Mankato State
1212,,,,,,,,Manual Training High
1213,,,,,,,Flyers,March Field
1214,,,,,,,,Mare Island Marines
1215,,,,,,,,Mare Island Navy
1216,,,,,,,,Marine Officers
1217,,,,,,,,Marion
1218,,,,,,,,Marion County High
1219,,,,,,,,Marion Sims
1220,,,,,,,Golden Eagles,Marquette
1221,,,,,,,,Marshall School
1222,,,,,,,,Marshalltown
1223,,,,,,,,Maryland A.C.
1224,,,,,,,,Maryland-Baltimore
1225,,,,,,,,Massilon A.C.
1226,,,,,,,,Mather Field
1227,,,,,,,,Maxwell Field
1228,,,,,,,,Mayport NAS
1229,,,,,,,,McClellan Field
1230,,,,,,,,McDaniel
1231,,,,,,,,McGill
1232,MAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2816.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2816.png']",Bearcats,McKendree
1233,,,,,,,,Medford A.C.
1234,,,,,,,,Medico-Chirurgical
1235,,,,,,,,Melville PT Boats
1236,,,,,,,,Memphis High
1237,,,,,,,,Memphis Navy
1238,,,,,,,,Mercersburg Academy
1239,,,,,,,,Meridian
1240,,,,,,,,Meteor A.C.
1241,,,,,,,,Michigan A.C.
1242,,,,,,,,Michigan Military Academy
1243,,,,,,,,Midwestern Texas State
1244,,,,,,,,Milligan
1245,,,,,,,,Milwaukee Medical
1246,,,,,,,,Minneapolis Boat Club
1247,,,,,,,,Minneapolis Central High
1248,,,,,,,,Minneapolis Eastern High
1249,,,,,,,,Minneapolis South High
1250,,,,,,,,Minnesota Alumni
1251,,,,,,,,Missouri-Kansas City
1252,,,,,,,,Missouri-Rolla
1253,,,,,,,,Missouri Southern
1254,,,,,,,,Missouri Valley
1255,,,,,,,,Missouri Wesleyan
1256,MIT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/109.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/109.png']",Engineers,MIT
1257,,,,,,,,Moffett Field
1258,,,,,,,,Mohawk
1259,,,,,,,,Moline A.C.
1260,,,,,,,,Monroe A.C.
1261,,,,,,,,Montana Tech
1262,,,,,,,,Montana Wesleyan
1263,,,,,,,,Montclair A.C.
1264,,,,,,,,Montezuma
1265,,,,,,,,Montgomery A.C.
1266,,,,,,,,Monticello Navy
1267,,,,,,,,Montreal
1268,,,,,,,,Mooney
1269,,,,,,,,Moorhead State
1270,,,,,,,,Morgan
1271,,,,,,,,Morganton Mutes
1272,,,,,,,,Morris Field
1273,,,,,,,,Morris Harvey
1274,,,,,,,,Mount Airy Deaf School
1275,,,,,,,,Mount Carmel All-Stars
1276,,,,,,,,Mount Hermon
1277,,,,,,,,Mount Pleasant
1278,,,,,,,,Mount St. Mary's
1279,,,,,,,,Multnomah A.C.
1280,,,,,,,,Nashville
1281,,,,,,,,Navy Hospital Corps
1282,,,,,,,,Navy Reserves
1283,,,,,,,,Navy Transport
1284,,,,,,,,Nebraska Alumni
1285,,,,,,,,Nebraska Wesleyan
1286,NWU,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6845.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6845.png']",Neb Wesleyan,Nebraska Wesleyan University
1287,,,,,,,,Needham
1288,,,,,,,,Newark A.C.
1289,,,,,,,,Newberry A.C.
1290,,,,,,,,Newburyport A.C.
1291,,,,,,,,New England All-Stars
1292,,,,,,,,New Jersey A.C.
1293,,,,,,,,New London Submarine Base
1294,,,,,,,,New Mexico Military
1295,,,,,,,,New Mexico Tech
1296,,,,,,,,New Orleans Gym Club
1297,,,,,,,,Newport Navy
1298,,,,,,,,Newport News
1299,,,,,,,,Newport NTS
1300,,,,,,,,Newton A.C.
1301,,,,,,,,Newton High
1302,,,,,,,,Newtowne A.C.
1303,,,,,,,,New York A.C.
1304,,,,,,,,New York Law
1305,,,,,,,,New York Naval Militia
1306,,,,,,,,New York State
1307,,,,,,,Violets,New York University
1308,,,,,,,,Niagara
1309,,,,,,,,Norfolk A.C.
1310,,,,,,,,Norfolk Blues
1311,,,,,,,,Norfolk Fire Department
1312,,,,,,,,Norfolk Marines
1313,,,,,,,,Norfolk Navy
1314,,,,,,,,Norfolk Navy Base
1315,,,,,,,,Norfolk Navy Yard
1316,,,,,,,Zoomers,Norman Naval Air Station
1317,,,,,,,,Norman Park
1318,,,,,,,,North Alabama A.C.
1319,,,,,,,,North Carolina Medical
1320,NCPF,,,,,,Cloudbusters,North Carolina Pre-Flight
1321,,,,,,,,North Dakota Teachers
1322,,,,,,,,North Denver High
1323,,,,,,,,North Division High
1324,NE,#c2c3c0,#cc0001,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/111.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/111.png']",Huskies,Northeastern
1325,,,,,,,,Northeastern Oklahoma State
1326,,,,,,,,North Georgia
1327,,,,,,,,Northwest Division High
1328,,,,,,,,Northwestern Academy
1329,,,,,,,,Northwestern Alumni
1330,,,,,,,,Northwestern Dental
1331,,,,,,,,Northwestern (Wisconsin)
1332,,,,,,,,Notre Dame B
1333,,,,,,,,Oak Ridge
1334,,,,,,,,Oceana NAS
1335,,,,,,,,Ogden A.C.
1336,,,,,,,,Ogden High
1337,,,,,,,Stormy Petrels,Oglethorpe
1338,,,,,,,,Ohio Am. Corp.
1339,,,,,,,,Ohio Medical
1340,,,,,,,,Oklahoma City
1341,,,,,,,,Oklahoma Mines
1342,,,,,,,,Oklahoma Teachers
1343,,,,,,,,Olathe Navy
1344,,,,,,,,Olivet
1345,,,,,,,,Olympic A.C.
1346,,,,,,,,Olympic Club
1347,,,,,,,,Omaha Balloon
1348,,,,,,,,Omaha Light Guards
1349,,,,,,,,Onondaga
1350,,,,,,,,Orange A.C.
1351,,,,,,,,Oregon College
1352,,,,,,,,Oregon State Alumni
1353,,,,,,,,Originals A.C.
1354,,,,,,,,Ottawa
1355,,,,,,,,Ottumwa Pre-Flight
1356,,,,,,,,Ouachita
1357,,,,,,,,Overland Station
1358,,,,,,,,Ozarks
1359,,,,,,,Tigers,Pacific
1360,,,,,,,,Pacific All-Stars
1361,,,,,,,,Pacific Fleet
1362,,,,,,,,Pacific (Oregon)
1363,,,,,,,,Pacific Submarines
1364,,,,,,,,Palmyra
1365,,,,,,,,Panhandle State
1366,,,,,,,,Panora
1367,,,,,,,,Park Field
1368,,,,,,,,Parris Island Marines
1369,,,,,,,,Parsons
1370,,,,,,,,Parsons (Iowa)
1371,,,,,,,,Pastime A.C.
1372,,,,,,,,Payne Field
1373,,,,,,,,Pearl Harbor
1374,,,,,,,,Pelham Bay Navy
1375,,,,,,,,Penn Radio School
1376,,,,,,,,Pennsylvania Alumni
1377,,,,,,,,Pennsylvania College
1378,,,,,,,,Pennsylvania Military
1379,,,,,,,,Pennsylvania Railroad YMCA
1380,,,,,,,,Pennsylvania Reserves
1381,,,,,,,,Pensacola A.C.
1382,,,,,,,,Pensacola NAS
1383,,,,,,,,Peoria Socials A.C.
1384,,,,,,,,Pepperdine
1385,,,,,,,,Peru State
1386,,,,,,,,Phialdelphia YMCA
1387,,,,,,,,Philadelphia A.C.
1388,,,,,,,,Philadelphia All-Stars
1389,,,,,,,,Philadelphia Naval Yard
1390,,,,,,,Haymakers,Phillips
1391,,,,,,,,Phoenix A.C.
1392,,,,,,,,Phoenix All-Stars
1393,,,,,,,,Phoenix Indians
1394,,,,,,,,Physicians & Surgeons
1395,,,,,,,,Piedmont
1396,,,,,,,,Pittsburgh A.C.
1397,,,,,,,,Pittsburgh Lyceum
1398,,,,,,,,Pittsfield A.C.
1399,,,,,,,,Pleasanton Navy
1400,,,,,,,,Pomona Ordinance Base
1401,,,,,,,,Pontiac A.C.
1402,,,,,,,,Porter Military
1403,,,,,,,Pilots,Portland
1404,,,,,,,,Portland A.C.
1405,,,,,,,,Port Royal
1406,,,,,,,,Portsmouth Fleet
1407,,,,,,,,Post Field
1408,,,,,,,,Prairie A.C.
1409,,,,,,,,Presidio of San Francisco
1410,,,,,,,,Princeton A.C.
1411,,,,,,,,Princeton Alumni
1412,,,,,,,,Princeton Seminary
1413,,,,,,,,Providence
1414,,,,,,,,Pueblo High
1415,,,,,,,,Pueblo YMCA
1416,,,,,,,,Purdue Alumni
1417,,,,,,,Devil Dogs,Quantico Marines
1418,,,,,,,,Quincy A.C.
1419,,,,,,,Ramblers,Randolph Field
1420,,,,,,,,Ream Field
1421,,,,,,,Rangers,Regis (CO)
1422,,,,,,,,Reina Mercedes
1423,,,,,,,,Reliance A.C.
1424,,,,,,,,Richmond Blues
1425,,,,,,,,Richmond Field
1426,,,,,,,,Ridgefield A.C.
1427,,,,,,,,Riverside
1428,,,,,,,,Roanoke
1429,,,,,,,,Rockford High
1430,,,,,,,,Rockford YMCA
1431,,,,,,,,Rockhurst
1432,,,,,,,,Rock Island A.C.
1433,,,,,,,,Rollins
1434,,,,,,,,Rooks
1435,,,,,,,,Rush Medical
1436,,,,,,,,Rusk
1437,,,,,,,,Sacaton Indians
1438,,,,,,,,Sacred Heart (Wisconsin)
1439,,,,,,,Billikens,Saint Louis
1440,,,,,,,Gaels,Saint Mary's (CA)
1441,,,,,,,Air Devils,Saint Mary's (CA) Pre-Flight
1442,,,,,,,,Salt Lake Field
1443,,,,,,,,Salt Lake High
1444,,,,,,,,Salt Lake YMCA
1445,,,,,,,,Sampson NTS
1446,,,,,,,,San Diego Bombers (PCFL)
1447,,,,,,,,San Diego Marines
1448,,,,,,,,San Diego Navy
1449,SF,,,,,,Dons,San Francisco
1450,,,,,,,,San Francisco Clippers (AFL)
1451,,,,,,,,San Francisco State
1452,,,,,,,,San Pedro A.C.
1453,,,,,,,,San Pedro Navy
1454,,,,,,,,Santa Ana Field
1455,SC,,,,,,Broncos,Santa Clara
1456,,,,,,,,Savannah A.C.
1457,,,,,,,,S.B. Howard Park
1458,,,,,,,,Schuylkill
1459,,,,,,,,Schuylkill Navy
1460,,,,,,,,Scott Field
1461,,,,,,,,Scout Fleet
1462,,,,,,,,Scranton
1463,,,,,,,,Seamen Gunners
1464,,,,,,,Superbombers,Second Air Force
1465,,,,,,,,Second Air Force (Colorado)
1466,,,,,,,,Second Air Force (Washington)
1467,,,,,,,,Seton Hall
1468,,,,,,,,Sewanee Club (Virginia)
1469,,,,,,,,Sewanee Medical
1470,,,,,,,,Shamokin
1471,,,,,,,,Shattuck
1472,,,,,,,,Sherman
1473,SHO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2560.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2560.png']",Hawks,Shorter
1474,,,,,,,,Shreveport A.C.
1475,,,,,,,,Shurtleff
1476,,,,,,,,Sioux City A.C.
1477,SIO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2894.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2894.png']",Cougars,Sioux Falls
1478,,,,,,,,SMTS
1479,,,,,,,,Sonoma State
1480,,,,,,,,South Bend A.C.
1481,,,,,,,,South Berwick
1482,,,,,,,,South Denver High
1483,,,,,,,,Southeastern Oklahoma State
1484,,,,,,,,Southern California Alumni
1485,,,,,,,,Southern College
1486,,,,,,,,Southern Methodist Freshmen
1487,,,,,,,,Southern Military Academy
1488,,,,,,,,South Plains Field
1489,,,,,,,,South Side Academy
1490,,,,,,,,Southwestern (Kansas)
1491,,,,,,,,Southwestern Oklahoma State
1492,SW,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2588.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2588.png']",Pirates,Southwestern University
1493,,,,,,,,Spence Field
1494,,,,,,,Badgers,Spring Hill
1495,,,,,,,,Squantum NAS
1496,,,,,,,,Staats A.C.
1497,,,,,,,,St. Albans
1498,,,,,,,,Standifer Shipbuilders
1499,,,,,,,,St. Benedict
1500,,,,,,,,St. Bonaventure
1501,,,,,,,,St. Edward's
1502,,,,,,,,Steelton YMCA
1503,,,,,,,,Sterling A.C.
1504,,,,,,,Ducks,Stevens
1505,,,,,,,,Stevens Alumni
1506,,,,,,,,St. Francis (Pennsylvania)
1507,,,,,,,,St. Helena NTS
1508,,,,,,,,Still
1509,,,,,,,,St. John's M.A.
1510,,,,,,,,St. John's (Maryland)
1511,,,,,,,,St. Joseph's (Indiana)
1512,,,,,,,,St. Joseph's (Pennsylvania)
1513,,,,,,,,St. Lawrence
1514,,,,,,,,St. Louis Alumni-Hawaii
1515,,,,,,,,St. Mary's (Kansas)
1516,,,,,,,,St. Mary's (Minnesota)
1517,,,,,,,,St. Mary's (Texas)
1518,,,,,,,,St. Olaf
1519,,,,,,,,St. Paul
1520,,,,,,,,St. Paul Central High
1521,,,,,,,,St. Paul's (New Hampshire)
1522,,,,,,,,Stroudsburg
1523,,,,,,,,St. Steven's
1524,,,,,,,,St. Thomas
1525,,,,,,,,St. Viator
1526,,,,,,,,St. Vincent's (California)
1527,,,,,,,,St. Vincent's (Pennsylvania)
1528,,,,,,,,Superba A.C.
1529,SWAR,,,,,,Garnet Tide,Swarthmore
1530,,,,,,,,Swarthmore Alumni
1531,,,,,,,,Syracuse A.C.
1532,,,,,,,,Syracuse Alumni
1533,,,,,,,,Talladega
1534,,,,,,,Spartans,Tampa
1535,,,,,,,,Tampa A.C.
1536,,,,,,,,Tarkio
1537,TAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/620.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/620.png']",Trojans,Taylor
1538,,,,,,,,Temperance A.C.
1539,,,,,,,,Tennessee Deaf School
1540,,,,,,,,Tennessee Medical College
1541,,,,,,,,Tennessee-Memphis
1542,,,,,,,,Tennessee Military
1543,,,,,,,,Tennessee Wesleyan
1544,,,,,,,,Texas A&M-Corpus Christi
1545,,,,,,,Mavericks,Texas-Arlington
1546,,,,,,,,Texas Deaf School
1547,,,,,,,,Texas Military
1548,,,,,,,,Texas Wesleyan
1549,,,,,,,,Thiel
1550,THI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2644.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2644.png']",Tomcats,Thiel College
1551,,,,,,,,Third Air Force
1552,,,,,,,,Tioga
1553,,,,,,,,Toledo A.C.
1554,,,,,,,,Tonkawa Preparatory
1555,,,,,,,,Toronto All-Stars
1556,,,,,,,,Transylvania
1557,TRN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2907.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2907.png']",Trojans,Trinity International (IL)
1558,,,,,,,,Trinity (Texas)
1559,,,,,,,,Troy Laureates
1560,,,,,,,,Tulane Alumni
1561,,,,,,,,Twin Cities Central High
1562,,,,,,,,Twin Cities High
1563,,,,,,,,UAY All-Stars
1564,UNI,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2841.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2841.png']",Dutchmen,Union College
1565,,,,,,,Dutchmen,Union (NY)
1566,,,,,,,,Union (Tennessee)
1567,,,,,,,,University Club of Chicago
1568,MAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/559.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/559.png']",Marauders,University of Mary
1569,,,,,,,,University of Mexico
1570,,,,,,,,Upsala
1571,,,,,,,,U.S. Amphibians
1572,,,,,,,,U.S. International
1573,,,,,,,,U.S. Marines
1574,,,,,,,,US Recup. Company
1575,,,,,,,,USS Boston
1576,,,,,,,,USS Franklin
1577,,,,,,,,USS Idaho
1578,,,,,,,,USS Maryland
1579,,,,,,,,USS Mercy
1580,,,,,,,,USS Minnesota
1581,,,,,,,,USS Mississippi
1582,,,,,,,,USS New Mexico
1583,,,,,,,,USS New York
1584,,,,,,,,USS Oklahoma
1585,,,,,,,,USS Tennessee
1586,,,,,,,,USS Utah
1587,,,,,,,,USS Washington
1588,,,,,,,,Utah Alumni
1589,,,,,,,,Utah Field Artillery
1590,,,,,,,,Utah State Alumni
1591,,,,,,,,Vancouver Barracks
1592,,,,,,,,Vanderbilt Alumni
1593,,,,,,,,Vedado A.C.
1594,,,,,,,Catamounts,Vermont
1595,,,,,,,,Vermont Methodist Seminary
1596,,,,,,,,Vicksburg A.C.
1597,,,,,,,,Vigilant A.C.
1598,,,,,,,,Vincennes
1599,,,,,,,,Vineland
1600,,,,,,,,Virginia Boat Club
1601,,,,,,,,Virginia Medical
1602,,,,,,,,Virginia Tech Alumni
1603,VIR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2676.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2676.png']",Panthers,Virginia Union
1604,,,,,,,,Volunteer A.C.
1605,,,,,,,,Waco Field
1606,,,,,,,,Wake Forest Freshmen
1607,,,,,,,,Walton
1608,,,,,,,,Warrenton Preparatory
1609,,,,,,,,Washington Artillery
1610,,,,,,,,Washington (Maryland)
1611,,,,,,,,Washington Redskins (NFL)
1612,,,,,,,,Washington YMCA
1613,,,,,,,,Waterton
1614,,,,,,,,Watertown
1615,,,,,,,,Waukegan High
1616,,,,,,,,Wayne State
1617,,,,,,,,Welch Neck High
1618,,,,,,,,Wendell Phillips High
1619,,,,,,,,Wesley
1620,,,,,,,Cardinals,Wesleyan (CT)
1621,,,,,,,,West Coast Army
1622,,,,,,,,West Coast Navy
1623,,,,,,,,West Denver High
1624,,,,,,,,West Division High
1625,,,,,,,,West End Amateurs
1626,,,,,,,,Western (Iowa)
1627,,,,,,,,Western Reserve
1628,,,,,,,,West Logan High
1629,,,,,,,,Westminster (Missouri)
1630,,,,,,,,Westminster (Pennsylvania)
1631,,,,,,,,West Seattle A.C.
1632,,,,,,,,West Texas Military
1633,,,,,,,,Wetumpka
1634,,,,,,,,Wheaton High
1635,,,,,,,,White Sands
1636,,,,,,,,White Squadron
1637,,,,,,,Missionaries,Whitman
1638,,,,,,,Shockers,Wichita State
1639,,,,,,,,William Jewell
1640,,,,,,,,Williams Alumni
1641,,,,,,,,Williams Field
1642,,,,,,,,Williamsport
1643,,,,,,,,Williston
1644,,,,,,,,Wilmington
1645,,,,,,,,Winchester
1646,,,,,,,,Wisconsin Alumni
1647,,,,,,,,Wisconsin Freshmen
1648,,,,,,,,Wisconsin-Milwaukee
1649,,,,,,,,Wisconsin-Oshkosh
1650,,,,,,,,Wisconsin-Whitewater
1651,,,,,,,,Wissahickon Barracks
1652,,,,,,,,Worcester A.C.
1653,,,,,,,,Worcester Academy
1654,,,,,,,,Wyoming Alumni
1655,,,,,,,,Wyoming Faculty
1656,,,,,,,,Wyoming Seminary
1657,,,,,,,Musketeers,Xavier
1658,,,,,,,,Yale Alumni
1659,,,,,,,,Yale Consolidated
1660,,,,,,,,Yale Freshmen
1661,,,,,,,,Yale/Princeton/Harvard Grads
1662,,,,,,,,YMI
1663,,,,,,,,York YMCA
1664,,,,,,,,Yuma Field
